Depmap ID,Expression Public 23Q2,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000253,2.2839217723076177,COLO201,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000254,2.3757345385831563,SCC15,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000255,2.980025300238734,LMSU,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000256,0.765534746362977,COV318,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000257,0.7136958148433591,CORL279,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000258,1.0840642647884746,DU4475,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000259,0.0426443374084937,KELLY,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000260,3.2539892662307865,SKNAS,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000261,2.994579724215748,RERFLCAI,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000262,1.495695162624069,UOK101,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000263,0.0426443374084937,KASUMI1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000264,0.8318772411916731,CALU6,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000265,0.4436066514756146,KP4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000266,3.2539892662307865,SNU213,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000267,7.017476563020462,HDLM2,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000268,0.6229303509201767,SNU245,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000269,5.490570130446201,AM38,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000270,1.3617683594191536,HPAC,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000271,0.1110313123887439,SUDHL10,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000272,2.726831217032493,SLR24,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000273,3.0874628412503395,SF539,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000274,0.2387868595871164,HS852T,Melanoma,Skin,Melanoma
ACH-000275,0.3219280948873623,HS834T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000276,2.3950627995175777,HCC38,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000277,0.0976107966264223,HCC1419,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000278,0.5160151470036647,COV362,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000279,0.1763227726404629,EWS502,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000280,4.175524601089875,SNU840,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000281,1.7865963618908067,KP2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000282,2.021479727410452,NCIH1755,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000283,2.682573297347578,A1207,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000284,3.835924074254375,HS840T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000285,0.3895668117627256,TOLEDO,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000286,1.903038270112912,SNU1033,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000287,0.2141248053528473,NUDUL1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000288,2.526068811667588,BT549,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000289,0.3673710656485294,SNU466,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000290,0.9107326619029126,NCIH209,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000291,0.2986583155645151,OV90,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000292,0.1634987322828795,NCIH841,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000293,0.2387868595871164,KLE,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000294,0.5160151470036647,NB4,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000295,0.1890338243900171,EM2,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000296,0.2141248053528473,OUMS23,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000297,1.3391373849195856,NCIH889,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000298,0.8155754288625725,NCIH2029,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000299,0.7739963251111731,HNT34,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000300,2.5084286525318573,SLR25,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000301,1.8519988371124465,LAMA84,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000302,1.1890338243900171,SNU1077,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000303,0.1634987322828795,SNU5,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000304,0.2630344058337938,WM115,Melanoma,Skin,Melanoma
ACH-000305,2.75702324650746,ECGI10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000306,1.6825732973475784,HS688AT,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000307,2.8011586560936985,PK1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000308,1.1699250014423124,EFO21,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000310,0.0426443374084937,IMR32,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000311,1.516015147003665,NCIH2122,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000312,0.2387868595871164,SKNBE2,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000313,5.855740591715029,KMRC3,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000314,0.8639384504239714,HCC2108,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000315,1.5058909297299572,KARPAS422,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000316,1.4750848829487828,SNU886,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000317,0.5360529002402097,TUHR14TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000318,1.6959938131099002,TE10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000319,3.4168397419128294,MPP89,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000320,1.989139007368233,PSN1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000321,0.2141248053528473,MOLM6,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000322,0.3103401206121505,HT144,Melanoma,Skin,Melanoma
ACH-000323,1.9597701552114672,42MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000324,0.9927684307689242,JHOC5,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000325,0.8318772411916731,SNU620,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000326,0.2986583155645151,JURLMK1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000327,4.257764968571387,NCIH1395,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000328,2.500802053057157,LN215,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000329,2.422233000683048,CCFSTTG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000330,0.0426443374084937,EFM19,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000331,1.6644828403646823,ISTMES2,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000332,2.3305584000308026,YAPC,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000333,1.459431618637297,JHOM2B,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000334,0.0285691521967709,DB,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000335,2.6959938131099,MSTO211H,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000336,0.01435529297707,OCIAML3,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000337,2.2539892662307865,NCIH3122,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000338,3.377123749129487,SR786,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000339,4.510329019490572,HCC461,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000340,1.761285273361619,HS870T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000341,1.411426245726465,SKNFI,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000342,0.4750848829487828,CL14,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000343,0.0840642647884745,NCIH522,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000344,1.992768430768924,SNU668,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000345,0.137503523749935,KPNRTBM1,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000346,5.699329525673156,JVM3,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000347,1.3950627995175775,QGP1,Pancreatic Neuroendocrine Tumor,Pancreas,Pancreatic Neuroendocrine Tumor
ACH-000348,1.9597701552114672,RPMI7951,Melanoma,Skin,Melanoma
ACH-000349,0.5459683691052926,HCC1500,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000350,1.232660756790275,COLO678,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000351,0.2141248053528473,MKN1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000352,0.963474123974886,HCC1428,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000353,2.056583528366368,TE15,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000354,1.4329594072761065,CAPAN1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000355,0.6229303509201767,NCIH82,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000356,0.2986583155645151,MKN45,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000357,0.2986583155645151,JEKO1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000358,0.1763227726404629,NCIH69,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000359,0.2265085298086797,MG63,Osteosarcoma,Bone,Osteosarcoma
ACH-000360,0.4646682670034443,NCIH508,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000361,0.7570232465074596,SKHEP1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000362,0.0285691521967709,MOLM13,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000363,0.6870606883398922,SKMM2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000364,1.4005379295837286,U2OS,Osteosarcoma,Bone,Osteosarcoma
ACH-000365,0.1110313123887439,SUDHL4,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000366,0.0285691521967709,SKNDZ,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000367,3.9240998856407416,NCIH226,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000368,4.963011647599427,SNU1105,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000369,0.5558161550616396,MOLM16,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000370,2.37851162325373,SNU626,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000371,0.2986583155645151,RL,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000372,0.8318772411916731,P12ICHIKAWA,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000373,0.1110313123887439,SKM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000374,0.7824085649273732,HCC1143,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000375,0.3561438102252753,G402,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000376,2.229587922740652,SF295,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000377,1.4905701304462011,SNU478,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma
ACH-000378,4.872336288104642,NCIH647,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000379,2.3978029618624896,NCIH1781,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000380,0.4956951626240688,KMS12BM,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000381,0.7398481026993274,T84,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000382,0.7824085649273732,CORL24,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000383,4.781884234541486,OE33,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000384,2.3701642805402097,SW780,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000385,1.144046369616707,SKRC20,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000386,0.8318772411916731,KG1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000387,0.5459683691052926,TF1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000388,0.1890338243900171,NUDHL1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000389,1.250961573533219,H4,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000390,0.7907720378619999,LUDLU1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000391,0.6959938131099002,MHHES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000392,0.4329594072761063,CALU3,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000393,2.799087306074004,HLF,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000394,1.7570232465074596,NCIH2081,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000395,0.5655971758542251,NCIH520,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000396,3.001802242633985,J82,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000397,0.7048719644563528,TEN,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000398,0.7570232465074596,RI1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000399,3.912649864897204,NCIH2196,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000400,0.3334237337251918,SKCO1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000401,1.0840642647884746,COLO800,Melanoma,Skin,Melanoma
ACH-000402,0.0565835283663675,BL70,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000403,3.19377174339668,NCIH747,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000404,0.6135316529179271,K029AX,Melanoma,Skin,Melanoma
ACH-000405,3.12267271882414,MEC1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000406,0.1505596765753814,U937,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000407,3.711494906650088,SNU685,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000408,0.4436066514756146,TE5,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000409,0.9560566524124028,OVSAHO,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000410,3.989139007368233,SAOS2,Osteosarcoma,Bone,Osteosarcoma
ACH-000411,1.6959938131099002,769P,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000412,3.341985747228616,SNU1197,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000413,2.584962500721156,HS739T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000414,0.5160151470036647,NCIH1944,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000415,0.7048719644563528,BICR6,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000416,1.4168397419128294,NCIH838,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000417,5.865423978313134,PANC0813,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000418,3.2016338611696504,SW1353,Chondrosarcoma,Bone,Chondrosarcoma
ACH-000419,0.6040713236688608,KMS28BM,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000420,2.9653225483672547,SNU449,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000421,2.250961573533219,SW837,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000422,1.3334237337251915,SNU475,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000423,0.8237493603082727,SKMEL3,Melanoma,Skin,Melanoma
ACH-000424,0.01435529297707,TC71,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000425,0.3785116232537298,UACC62,Melanoma,Skin,Melanoma
ACH-000427,1.6088092426755238,NCIN87,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000428,2.9763636357327616,UO31,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000429,1.5558161550616396,A704,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000430,1.9068905956085185,TYKNU,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000431,0.3673710656485294,NCIH1694,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000432,2.19534759832222,BV173,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000433,0.6229303509201767,CAKI1,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000434,5.422905742612183,NCIH1915,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000435,0.4854268271702416,EFE184,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000436,0.7048719644563528,OCIMY7,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000437,2.007195501404204,SW1088,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000438,1.875780063068488,LU65,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000439,0.4541758931858021,ME1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000440,0.3334237337251918,CA46,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000441,2.127633279725874,SH4,Melanoma,Skin,Melanoma
ACH-000442,4.295723024539968,RERFLCSQ1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000443,0.2986583155645151,OVKATE,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000444,2.883620816285671,LU99,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000445,5.536363792395467,KNS60,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000446,3.2942531364445142,KPNSI9S,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000447,3.439623137557117,NCIH2228,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000448,1.3504972470841332,NCIH1666,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000449,0.1763227726404629,MESSA,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal
ACH-000450,1.263034405833794,MELHO,Melanoma,Skin,Melanoma
ACH-000451,4.815063017192867,NCIH2085,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000452,1.6040713236688608,TE8,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000453,1.7092906357233577,MOLP2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000454,1.7180875839605168,HCC95,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000455,1.761285273361619,LN428,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000456,4.580748491763774,BCPAP,Poorly Differentiated Thyroid Cancer,Thyroid,Poorly Differentiated Thyroid Cancer
ACH-000457,0.2750070474998698,CAL54,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000458,4.207892851641333,CJM,Melanoma,Skin,Melanoma
ACH-000459,3.111031312388744,TUHR10TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000460,3.931683057059806,SNU8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000461,2.2539892662307865,SNU1196,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000462,0.903038270112912,NALM1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000463,2.0840642647884744,NCIH460,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000464,1.2203299548795556,CAS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000465,2.327687364176047,SKMEL1,Melanoma,Skin,Melanoma
ACH-000466,2.5310694927259543,SNU216,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000467,0.3785116232537298,HCC56,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000468,2.594548549550354,PK45H,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000469,1.7865963618908067,YH13,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000470,0.2750070474998698,SW1463,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000471,1.8953026213333068,LI7,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000472,1.613531652917927,HSC2,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000473,1.6276068381296498,RT112,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000475,0.6135316529179271,HUH1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000476,2.405992359675837,JHH4,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000477,1.4329594072761065,MALME3M,Melanoma,Skin,Melanoma
ACH-000478,3.553360503335328,SNU387,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000479,3.90977310414164,KNS81,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000480,0.2630344058337938,HUH7,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000481,0.5753123306874368,NCIH2170,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000482,5.164705840182799,RERFLCKJ,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000483,2.1342209397606338,SNU182,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000484,2.298658315564515,VMRCRCW,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000485,0.1890338243900171,GSU,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000486,4.003602236680195,KU1919,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000487,3.0107798387532423,F36P,Myelodysplastic Syndromes,Myeloid,Myelodysplastic Syndromes
ACH-000488,1.9107326619029128,TE11,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000489,0.2750070474998698,SW1116,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000490,1.7004397181410922,SF767,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma
ACH-000491,0.2016338611696504,NCIH716,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000492,0.5260688116675876,MUTZ5,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000493,4.499527024215096,SNU423,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000494,4.030336078370959,OELE,Non-Cancerous,Ovary/Fallopian Tube,Non-Cancerous
ACH-000495,3.5909612413426,TUHR4TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000496,2.1176950426697547,NCIH1792,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000498,0.879705766282288,KO52,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000499,0.0840642647884745,EW8,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000500,4.172327491657617,SNU46,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000501,3.4369613378336026,LS123,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000502,0.1634987322828795,TCCPAN2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000503,1.0214797274104517,BICR16,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000504,2.797012977836145,SNB75,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000505,3.1795110502715103,RKN,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma
ACH-000506,0.1890338243900171,NCIH146,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
